,TS_ID,Team,Season,Conference,NatChamp,Playoff,ConfChamp,Heisman,Games,Win,Loss,Off.Rank,Off.Plays,Off.Yards,Off.Yards.Play,Off.TDs,Off.Yards.per.Game,Def.Rank,Def.Plays,Yards.Allowed,Yards.Play.Allowed,Off.TDs.Allowed,Total.TDs.Allowed,Yards.Per.Game.Allowed,First.Down.Rank,First.Down.Runs,First.Down.Passes,First.Down.Penalties,First.Downs,First.Down.Def.Rank,Opp.First.Down.Runs,Opp.First.Down.Passes,Opp.First.Down.Penalties,Opp.First.Downs,X4th.Down.Rank,X4th.Attempts,X4th.Conversions,X4th.Percent,X4rd.Down.Def.Rank,Opp.4th.Conversion,Opp.4th.Attempt,Opponent.4th.Percent,Kickoff.Return.Rank,Kickoffs.Returned,Kickoff.Return.Yards,Kickoff.Return.Touchdowns,Avg.Yard.per.Kickoff.Return,Passing.Off.Rank,Pass.Attempts,Pass.Completions,Interceptions.Thrown.x,Pass.Yards,Pass.Yards.Attempt,Yards.Completion,Pass.Touchdowns,Pass.Yards.Per.Game,Pass.Def.Rank,Opp.Completions.Allowed,Opp.Pass.Attempts,Opp.Pass.Yds.Allowed,Opp.Pass.TDs.Allowed,Yards.Attempt.Allowed,Yards.Completion.Allowed,Pass.Yards.Per.Game.Allowed,Penalty.Rank,Penalties,Penalty.Yards,Penalty.Yards.Per.Game,Punt.Return.Rank,Punt.Returns,Net.Punt.Return.Yards,Punt.Return.Touchdowns,Avg.Yards.Per.Punt.Return,Punt.Return.Def.Rank,Opp.Punt.Returns,Opp.Net.Punt.Return.Yards,Opp.Punt.Return.Touchdowns.Allowed,Avg.Yards.Allowed.per.Punt.Return,Redzone.Off.Rank,Redzone.Attempts,Redzone.Rush.TD,Redzone.Pass.TD,Redzone.Field.Goals.Made,Redzone.Scores,Redzone.Points,Redzone.Def.Rank,Opp.Redzone.Attempts,Opp.Redzone.Rush.TD.Allowed,Opp.Redzone.Pass.Touchdowns.Allowed,Opp.Redzone.Field.Goals.Made,Opp.Redzone.Scores,Redzone.Points.Allowed,Rushing.Off.Rank,Rush.Attempts,Rush.Yds,Yards.Rush,Rushing.TD,Rushing.Yards.per.Game,Rushing.Def.Rank,Opp.Rush.Attempts,Opp.Rush.Yards.Alloweed,Yds.Rush.Allowed,Opp.Rush.Touchdowns.Allowed,Rush.Yards.Per.Game.Allowed,Sack.Rank,Sacks,Sack.Yards,Average.Sacks.per.Game,Scoring.Def.Rank,Touchdowns.Allowed,Opponent.Extra.Points,X2.Point.Conversions.Allowed,Opp.Deflected.Extra.Points,Opp.Feild.Goals.Made,Opp.Safety,Points.Allowed,Avg.Points.per.Game.Allowed,Scoring.Off.Rank,Touchdowns,PAT,X2.Point.Conversions,Defensive.Points,Feild.Goals,Safety,Total.Points,Points.Per.Game,Tackle.for.Loss.Rank,Solo.Tackle.For.Loss,Assist.Tackle.For.Loss,Tackle.for.Loss.Yards,Total.Tackle.For.Loss,Tackle.For.Loss.Per.Game,X3rd.Down.Rank,X3rd.Attempts,X3rd.Conversions,X3rd.Percent,X3rd.Down.Def.Rank,Opp.3rd.Conversion,Opp.3rd.Attempt,Opponent.3rd.Percent,Time.of.Possession.Rank,Average.T.O.P,Turnover.Rank,Fumbles.Recovered,Opponents.Intercepted,Turnovers.Gain,Fumbles.Lost,Interceptions.Thrown.y,Turnovers.Lost,Turnover.Margin,Avg.Turnover.Margin.per.Game,Avg Rank,Net Yards Per Play,winpct
91,952,UCF,2020,AAC,0,0,0,0,10,6,4,2,859,5681,6.61,55,568,123,794,4918,6.19,43,44,492,125,112,144,20,276,125,112,144,20,276,62,12,22,1,63,11,20,1,89,25,50,571,0.0,3,415,249,4,3574,8.61,14.35,32,357,122,209,350,2992,26,8.55,14.32,299.2,116,92,748,74.8,96,11,120,0,10.91,96,11,120,0,10.91,22,55,19,18,12,49,0.89,89,45,15,17,7,39,0.87,25,444,2107,4.75,23,210.7,93,444,1926,4.34,17,192.6,63,22,139,2.2,92,44,34,4,0,8,1,332,33.2,8,55,46,4,0,12,1,422,42.2,31,60,22,293,71,7.1,12,160,78,0.49,90,63,146,0.43,110,27:30:00,7,13,9,22,6,4,10,12,1.2,62.5,0.41999999999999993,0.6
190,857,Boston College,2020,ACC,0,0,0,0,11,6,5,74,751,4245,5.65,34,386,73,750,4585,6.11,39,39,417,114,102,115,29,246,114,102,115,29,246,31,9,14,1,123,13,16,1,94,36,17,827,0.0,24,390,242,8,3126,8.02,12.92,23,284,81,216,350,2700,18,7.71,12.5,245.5,103,84,725,65.91,48,13,75,0,5.77,48,13,75,0,5.77,57,51,9,16,18,43,0.84,81,42,16,10,10,36,0.86,117,361,1119,3.1,11,101.7,75,400,1885,4.71,21,171.4,88,28,226,2.55,61,39,32,0,1,14,1,312,28.4,68,36,32,2,0,18,0,306,27.8,105,45,16,259,53,4.8,37,147,65,0.44,67,57,141,0.4,42,31:00:00,25,12,9,21,6,8,14,7,0.64,73.5,-0.45999999999999996,0.5454545454545454
191,865,Clemson,2020,ACC,0,1,1,0,11,10,1,10,831,5584,6.72,60,508,6,709,3283,4.63,19,23,299,58,55,90,21,166,58,55,90,21,166,9,10,13,1,16,7,19,0,82,12,72,269,0.0,7,442,293,5,3782,8.56,12.91,29,344,27,168,315,2185,11,6.94,13.01,198.6,60,62,558,50.73,83,15,130,0,8.67,83,15,130,0,8.67,34,56,25,14,10,49,0.88,29,26,6,8,6,20,0.77,65,389,1802,4.63,31,163.8,9,394,1098,2.79,8,99.8,31,18,134,1.64,11,23,22,0,0,11,0,193,17.5,3,63,60,0,0,18,1,494,44.9,3,80,46,437,103,9.4,27,167,78,0.47,9,49,161,0.3,44,30:52:00,17,9,13,22,8,5,13,9,0.82,8.0,2.09,0.9090909090909091
192,869,Duke,2020,ACC,0,0,0,0,11,2,9,80,829,4173,5.03,30,379,97,783,4893,6.25,53,56,445,115,121,111,15,247,115,121,111,15,247,85,11,23,0,100,14,21,1,76,25,18,548,0.0,70,391,220,19,2449,6.26,11.13,11,223,66,184,321,2548,22,7.94,13.85,231.6,61,62,562,51.09,9,16,12,1,0.75,9,16,12,1,0.75,80,35,14,4,10,28,0.8,71,44,18,12,7,37,0.84,72,438,1724,3.94,19,156.7,108,462,2345,5.08,31,213.2,114,37,195,3.36,115,56,53,0,0,10,0,419,38.1,90,33,30,1,1,13,1,273,24.8,45,55,36,294,73,6.6,76,168,65,0.39,77,64,155,0.41,94,28:34:00,125,11,9,20,20,19,39,-19,-1.73,88.5,-1.2199999999999998,0.18181818181818182
193,875,Florida St.,2020,ACC,0,0,0,0,9,3,6,62,644,3570,5.54,29,397,106,635,4107,6.47,41,43,456,90,91,96,28,215,90,91,96,28,215,73,15,28,1,32,6,13,0,70,23,18,495,0.0,97,292,159,13,1771,6.07,11.14,10,197,98,189,285,2314,16,8.12,12.24,257.1,123,80,700,77.78,33,14,67,0,4.79,33,14,67,0,4.79,110,31,13,6,4,23,0.74,62,42,21,7,7,35,0.83,31,352,1799,5.11,19,199.9,97,350,1793,5.12,25,199.2,111,29,213,3.22,105,43,40,1,0,8,0,324,36.0,85,30,26,0,0,8,1,232,25.8,88,35,26,153,48,5.3,101,132,47,0.36,104,53,114,0.47,53,30:33:00,90,6,8,14,4,13,17,-3,-0.33,84.0,-0.9299999999999997,0.3333333333333333
194,880,Georgia Tech,2020,ACC,0,0,0,0,10,3,7,72,691,3899,5.64,32,390,109,784,4593,5.86,43,46,459,112,101,117,23,241,112,101,117,23,241,116,9,25,0,37,11,23,0,60,33,11,686,0.0,93,283,152,13,1991,7.04,13.1,14,199,111,209,356,2701,22,7.59,12.92,270.1,117,89,749,74.9,94,8,83,0,10.38,94,8,83,0,10.38,121,30,11,6,3,20,0.67,80,48,17,12,12,41,0.85,41,408,1908,4.68,18,190.8,89,428,1892,4.42,21,189.2,74,23,146,2.3,109,46,43,1,0,15,1,368,36.8,93,34,26,0,0,3,0,239,23.9,61,49,26,247,62,6.2,59,146,60,0.41,107,71,152,0.47,114,27:05:00,109,12,6,18,12,13,25,-7,-0.7,90.5,-0.22000000000000064,0.3
195,894,Louisville,2020,ACC,0,0,0,0,11,4,7,28,735,4886,6.65,41,444,42,704,4060,5.77,34,35,369,76,99,87,14,200,76,99,87,14,200,68,13,24,1,20,8,20,0,33,38,14,702,0.0,47,315,202,12,2686,8.53,13.3,20,244,19,155,289,2081,15,7.2,13.43,189.2,69,69,577,52.45,98,6,67,0,11.17,98,6,67,0,11.17,30,44,17,12,10,39,0.89,59,41,16,9,9,34,0.83,29,420,2200,5.24,21,200.0,80,415,1979,4.77,19,179.9,97,30,178,2.73,49,35,29,2,0,16,1,293,26.6,57,41,40,0,0,13,0,325,29.5,77,52,22,220,63,5.7,34,143,64,0.45,61,59,149,0.4,32,31:30:00,120,7,5,12,12,12,24,-12,-1.09,35.0,0.8800000000000008,0.36363636363636365
196,900,Miami (FL),2020,ACC,0,0,0,0,10,8,2,36,725,4326,5.97,40,433,65,720,4074,5.66,31,32,407,106,96,107,26,229,106,96,107,26,229,15,10,14,1,53,9,17,1,106,15,46,364,1.0,30,333,209,6,2694,8.09,12.89,23,269,59,214,341,2268,16,6.65,10.6,226.8,112,78,699,69.9,68,8,59,0,7.38,68,8,59,0,7.38,19,39,14,9,12,35,0.9,59,41,11,12,11,34,0.83,66,392,1632,4.16,17,163.2,83,379,1806,4.77,15,180.6,100,29,183,2.9,44,32,32,0,0,12,0,260,26.0,27,41,36,2,0,18,0,340,34.0,4,66,40,358,86,8.6,55,146,61,0.42,44,56,147,0.38,106,27:51:00,27,9,7,16,4,6,10,6,0.6,50.5,0.3099999999999996,0.8
197,909,NC State,2020,ACC,0,0,0,0,11,8,3,69,768,4306,5.61,41,392,74,841,4600,5.47,36,39,418,124,104,128,32,264,124,104,128,32,264,43,6,10,1,56,15,28,1,100,25,33,591,1.0,36,361,225,12,2886,7.99,12.83,23,262,93,234,400,2801,20,7.0,11.97,254.6,122,89,846,76.91,97,20,219,1,10.95,97,20,219,1,10.95,61,47,16,15,8,39,0.83,42,49,12,15,12,39,0.8,98,407,1420,3.49,18,129.1,65,441,1799,4.08,16,163.5,91,29,238,2.64,68,39,35,1,0,18,1,327,29.7,43,44,40,0,0,12,1,342,31.1,16,63,44,307,85,7.7,36,149,66,0.44,40,64,170,0.38,86,28:57:00,83,3,10,13,4,12,16,-3,-0.27,71.5,0.14000000000000057,0.7272727272727273
198,913,North Carolina,2020,ACC,0,0,0,0,11,8,3,4,784,6123,7.81,63,557,56,768,4354,5.67,37,39,396,111,95,115,28,238,111,95,115,28,238,36,10,16,1,42,9,18,1,69,11,70,236,0.0,19,326,226,7,3383,10.38,14.97,28,308,85,214,369,2728,17,7.39,12.75,248.0,113,80,776,70.55,77,10,79,0,7.9,77,10,79,0,7.9,29,53,28,12,7,47,0.89,75,40,15,10,9,34,0.85,10,458,2740,5.98,35,249.1,48,399,1626,4.08,20,147.8,97,30,188,2.73,61,39,31,4,0,13,0,312,28.4,6,63,61,1,1,10,0,473,43.0,70,57,16,294,65,5.9,23,124,59,0.48,42,58,153,0.38,38,31:08:00,70,3,8,11,5,7,12,-1,-0.09,30.0,2.1399999999999997,0.7272727272727273
